UTC,Open,High,Low,Close,Volume
01.04.2026 12:00:00.000 UTC,1.16076,1.16093,1.16076,1.1609,188.55
01.04.2026 12:01:00.000 UTC,1.1609,1.16107,1.16087,1.16105,144
01.04.2026 12:02:00.000 UTC,1.16105,1.16105,1.16091,1.16095,116.46
01.04.2026 12:03:00.000 UTC,1.16091,1.16091,1.16076,1.16076,106.65
01.04.2026 12:04:00.000 UTC,1.16075,1.16093,1.16075,1.16082,107.55
01.04.2026 12:05:00.000 UTC,1.16083,1.16084,1.16066,1.16066,101.7
01.04.2026 12:06:00.000 UTC,1.16066,1.16074,1.16055,1.16062,160.2
01.04.2026 12:07:00.000 UTC,1.16064,1.16066,1.16035,1.16035,153.9
01.04.2026 12:08:00.000 UTC,1.16032,1.16042,1.16022,1.16034,111.15
01.04.2026 12:09:00.000 UTC,1.16034,1.16055,1.16034,1.16047,127.26
01.04.2026 12:10:00.000 UTC,1.16048,1.16061,1.16041,1.16061,125.1
01.04.2026 12:11:00.000 UTC,1.1606,1.16063,1.1605,1.16058,114.75
01.04.2026 12:12:00.000 UTC,1.16058,1.16067,1.16057,1.16059,50.85
01.04.2026 12:13:00.000 UTC,1.16058,1.16061,1.16055,1.16056,28.8
01.04.2026 12:14:00.000 UTC,1.16053,1.16057,1.16042,1.16057,191.7
01.04.2026 12:15:00.000 UTC,1.16056,1.16058,1.16014,1.16034,244.71
01.04.2026 12:16:00.000 UTC,1.16031,1.16036,1.16006,1.16016,205.65
01.04.2026 12:17:00.000 UTC,1.16014,1.16017,1.15998,1.16008,128.25
01.04.2026 12:18:00.000 UTC,1.16009,1.16014,1.15997,1.16,265.05
01.04.2026 12:19:00.000 UTC,1.16001,1.16016,1.16,1.16014,117.45
01.04.2026 12:20:00.000 UTC,1.16012,1.16029,1.1601,1.1602,195.3
01.04.2026 12:21:00.000 UTC,1.16021,1.16022,1.15978,1.15986,164.25
01.04.2026 12:22:00.000 UTC,1.15987,1.15994,1.15975,1.15984,178.56
01.04.2026 12:23:00.000 UTC,1.15984,1.15988,1.15972,1.15982,125.01
01.04.2026 12:24:00.000 UTC,1.15983,1.16012,1.15983,1.16,77.4
01.04.2026 12:25:00.000 UTC,1.16003,1.16004,1.1599,1.15991,105.3
01.04.2026 12:26:00.000 UTC,1.15992,1.15992,1.15948,1.15957,258.08
01.04.2026 12:27:00.000 UTC,1.15955,1.15962,1.15951,1.15959,142.2
01.04.2026 12:28:00.000 UTC,1.1596,1.15972,1.15959,1.1597,78.75
01.04.2026 12:29:00.000 UTC,1.15969,1.15972,1.15959,1.15965,170.1
01.04.2026 12:30:00.000 UTC,1.15965,1.16001,1.15941,1.15984,301.5
01.04.2026 12:31:00.000 UTC,1.15984,1.16001,1.15975,1.15999,155.25
01.04.2026 12:32:00.000 UTC,1.15998,1.16023,1.15987,1.15998,143.1
01.04.2026 12:33:00.000 UTC,1.16,1.16013,1.15992,1.16012,143.74
01.04.2026 12:34:00.000 UTC,1.16011,1.16024,1.16008,1.1602,113.85
01.04.2026 12:35:00.000 UTC,1.1602,1.16041,1.16018,1.16032,168.76
01.04.2026 12:36:00.000 UTC,1.16035,1.16039,1.16018,1.16023,125.1
01.04.2026 12:37:00.000 UTC,1.16021,1.16021,1.1598,1.1598,192.53
01.04.2026 12:38:00.000 UTC,1.1598,1.16007,1.15978,1.16003,241.2
01.04.2026 12:39:00.000 UTC,1.16004,1.1603,1.16001,1.16017,165.34
