UTC,Open,High,Low,Close,Volume,Pattern
05.12.2025 12:00:00.000 UTC,1.16464,1.16471,1.16458,1.16467,153.98,I
05.12.2025 12:01:00.000 UTC,1.16469,1.1648,1.16468,1.16477,46.92,U
05.12.2025 12:02:00.000 UTC,1.16477,1.16492,1.16476,1.16491,121.72,B
05.12.2025 12:03:00.000 UTC,1.16489,1.16498,1.16489,1.16494,35.01,U
05.12.2025 12:04:00.000 UTC,1.16493,1.16501,1.16486,1.16501,85.23,U
05.12.2025 12:05:00.000 UTC,1.16502,1.16509,1.165,1.16509,57.69,U
05.12.2025 12:06:00.000 UTC,1.1651,1.16522,1.16505,1.16519,94.71,U
05.12.2025 12:07:00.000 UTC,1.16519,1.1652,1.16502,1.16509,84.76,D
05.12.2025 12:08:00.000 UTC,1.16509,1.16509,1.16497,1.16498,57.95,X
05.12.2025 12:09:00.000 UTC,1.16497,1.1651,1.16494,1.16508,76.72,B
05.12.2025 12:10:00.000 UTC,1.16509,1.16515,1.16504,1.16513,36.0,I
05.12.2025 12:11:00.000 UTC,1.16513,1.16523,1.16513,1.16523,43.74,U
05.12.2025 12:12:00.000 UTC,1.16523,1.1653,1.16519,1.16525,53.14,I
05.12.2025 12:13:00.000 UTC,1.16523,1.16526,1.16518,1.1652,73.3,I
05.12.2025 12:14:00.000 UTC,1.16519,1.16521,1.16517,1.16519,16.38,I
05.12.2025 12:15:00.000 UTC,1.1652,1.16522,1.16513,1.16519,50.22,I
05.12.2025 12:16:00.000 UTC,1.1652,1.16528,1.1651,1.16521,76.66,I
05.12.2025 12:17:00.000 UTC,1.1652,1.16533,1.16518,1.1653,27.0,U
05.12.2025 12:18:00.000 UTC,1.16529,1.16529,1.16507,1.16507,44.55,X
05.12.2025 12:19:00.000 UTC,1.16507,1.16507,1.16485,1.16489,42.07,X
05.12.2025 12:20:00.000 UTC,1.16489,1.16489,1.16464,1.16473,81.58,X
05.12.2025 12:21:00.000 UTC,1.16471,1.16472,1.16447,1.16449,123.05,X
05.12.2025 12:22:00.000 UTC,1.16448,1.16456,1.16447,1.16449,144.77,I
05.12.2025 12:23:00.000 UTC,1.16449,1.1646,1.16448,1.16452,71.67,I
05.12.2025 12:24:00.000 UTC,1.16454,1.16464,1.16446,1.16446,117.71,D
05.12.2025 12:25:00.000 UTC,1.16444,1.16472,1.16435,1.16471,139.86,B
05.12.2025 12:26:00.000 UTC,1.16472,1.16479,1.16468,1.16477,88.11,U
05.12.2025 12:27:00.000 UTC,1.16478,1.16479,1.16466,1.16469,62.1,D
05.12.2025 12:28:00.000 UTC,1.1647,1.16472,1.16455,1.1646,79.24,D
05.12.2025 12:29:00.000 UTC,1.16458,1.16461,1.16451,1.16461,65.92,I
05.12.2025 12:30:00.000 UTC,1.1646,1.16474,1.1646,1.16466,69.12,U
05.12.2025 12:31:00.000 UTC,1.16468,1.16479,1.16465,1.16465,58.95,I
05.12.2025 12:32:00.000 UTC,1.16464,1.16466,1.16451,1.16466,115.95,I
05.12.2025 12:33:00.000 UTC,1.16467,1.16474,1.16465,1.16473,59.04,U
05.12.2025 12:34:00.000 UTC,1.16477,1.16478,1.16459,1.16459,46.57,X
05.12.2025 12:35:00.000 UTC,1.16465,1.16475,1.16457,1.16458,36.13,D
05.12.2025 12:36:00.000 UTC,1.16457,1.16467,1.16457,1.16464,87.56,U
05.12.2025 12:37:00.000 UTC,1.16465,1.16466,1.16462,1.16465,17.55,I
05.12.2025 12:38:00.000 UTC,1.16467,1.16467,1.16456,1.16458,41.75,D
05.12.2025 12:39:00.000 UTC,1.1646,1.16472,1.16455,1.16472,39.69,B
05.12.2025 12:40:00.000 UTC,1.16471,1.16481,1.16461,1.16462,98.73,D
05.12.2025 12:41:00.000 UTC,1.16464,1.16478,1.16464,1.16475,86.67,B
05.12.2025 12:42:00.000 UTC,1.16476,1.16483,1.16473,1.16475,68.67,I
05.12.2025 12:43:00.000 UTC,1.16477,1.16481,1.16477,1.16479,32.85,I
05.12.2025 12:44:00.000 UTC,1.16478,1.16479,1.16461,1.16464,70.1,X
05.12.2025 12:45:00.000 UTC,1.16464,1.16471,1.16462,1.16468,59.59,I
05.12.2025 12:46:00.000 UTC,1.16467,1.16486,1.16466,1.16486,51.02,B
05.12.2025 12:47:00.000 UTC,1.16484,1.16484,1.16476,1.16481,37.17,I
05.12.2025 12:48:00.000 UTC,1.1648,1.16486,1.16479,1.16485,35.76,I
05.12.2025 12:49:00.000 UTC,1.16483,1.16486,1.16478,1.16479,22.95,I
05.12.2025 12:50:00.000 UTC,1.16481,1.16482,1.16471,1.16471,58.68,D
05.12.2025 12:51:00.000 UTC,1.1647,1.16474,1.16462,1.16465,55.03,D
05.12.2025 12:52:00.000 UTC,1.16467,1.16468,1.16462,1.16467,32.4,I
05.12.2025 12:53:00.000 UTC,1.16468,1.16473,1.16465,1.16471,48.78,I
05.12.2025 12:54:00.000 UTC,1.16472,1.16474,1.16468,1.16469,46.65,I
05.12.2025 12:55:00.000 UTC,1.1647,1.16499,1.1647,1.16489,150.3,B
05.12.2025 12:56:00.000 UTC,1.16489,1.16502,1.16487,1.16499,84.01,U
05.12.2025 12:57:00.000 UTC,1.165,1.16507,1.1649,1.16505,106.2,I
05.12.2025 12:58:00.000 UTC,1.16504,1.16513,1.16499,1.16511,103.1,U
05.12.2025 12:59:00.000 UTC,1.16512,1.16518,1.16509,1.16515,81.43,I
05.12.2025 13:00:00.000 UTC,1.16521,1.16529,1.16514,1.16522,99.25,I
05.12.2025 13:01:00.000 UTC,1.1652,1.16524,1.1651,1.1651,83.34,D
05.12.2025 13:02:00.000 UTC,1.1651,1.1651,1.16492,1.16501,64.74,D
05.12.2025 13:03:00.000 UTC,1.16499,1.16508,1.16497,1.16508,49.05,U
05.12.2025 13:04:00.000 UTC,1.16506,1.16509,1.16483,1.16483,63.0,X
05.12.2025 13:05:00.000 UTC,1.16484,1.16484,1.16472,1.16474,87.83,D
05.12.2025 13:06:00.000 UTC,1.16472,1.16472,1.16461,1.16462,76.97,D
05.12.2025 13:07:00.000 UTC,1.16463,1.16464,1.1645,1.16452,49.85,X
05.12.2025 13:08:00.000 UTC,1.16451,1.16456,1.16442,1.16452,43.74,I
05.12.2025 13:09:00.000 UTC,1.16452,1.16453,1.16448,1.16449,23.4,I
05.12.2025 13:10:00.000 UTC,1.1645,1.16462,1.16444,1.16458,76.56,U
05.12.2025 13:11:00.000 UTC,1.16456,1.16471,1.16455,1.16467,108.0,B
05.12.2025 13:12:00.000 UTC,1.16465,1.16474,1.16455,1.16455,99.5,D
05.12.2025 13:13:00.000 UTC,1.16456,1.16466,1.16456,1.16465,45.99,U
05.12.2025 13:14:00.000 UTC,1.16465,1.16473,1.16462,1.16465,46.93,I
05.12.2025 13:15:00.000 UTC,1.16466,1.16469,1.1645,1.16452,52.87,X
05.12.2025 13:16:00.000 UTC,1.16452,1.16455,1.16448,1.16448,46.8,I
05.12.2025 13:17:00.000 UTC,1.1645,1.16458,1.16448,1.16457,50.08,U
05.12.2025 13:18:00.000 UTC,1.16457,1.16465,1.16454,1.16459,53.7,I
05.12.2025 13:19:00.000 UTC,1.16459,1.1646,1.16442,1.16443,65.88,X
05.12.2025 13:20:00.000 UTC,1.16443,1.16452,1.16433,1.16452,106.83,U
05.12.2025 13:21:00.000 UTC,1.16453,1.16457,1.16443,1.16456,108.55,I
05.12.2025 13:22:00.000 UTC,1.16455,1.16476,1.16455,1.16467,68.95,B
05.12.2025 13:23:00.000 UTC,1.16466,1.16472,1.16462,1.16464,59.08,I
05.12.2025 13:24:00.000 UTC,1.16466,1.16479,1.16458,1.16478,34.38,B
05.12.2025 13:25:00.000 UTC,1.1648,1.16482,1.16466,1.16471,46.93,D
05.12.2025 13:26:00.000 UTC,1.16472,1.16488,1.16471,1.16481,48.15,U
05.12.2025 13:27:00.000 UTC,1.1648,1.16483,1.16479,1.1648,23.98,I
05.12.2025 13:28:00.000 UTC,1.16479,1.16496,1.16478,1.16491,33.3,B
05.12.2025 13:29:00.000 UTC,1.16491,1.16493,1.16485,1.16488,40.5,I
05.12.2025 13:30:00.000 UTC,1.16487,1.16501,1.16483,1.16491,210.54,I
05.12.2025 13:31:00.000 UTC,1.1649,1.16516,1.16485,1.16498,122.4,W
05.12.2025 13:32:00.000 UTC,1.16499,1.1651,1.16493,1.16494,79.95,I
05.12.2025 13:33:00.000 UTC,1.16492,1.16501,1.16479,1.165,77.25,U
05.12.2025 13:34:00.000 UTC,1.16499,1.16519,1.16496,1.16507,84.78,U
05.12.2025 13:35:00.000 UTC,1.16508,1.16508,1.16482,1.16488,129.03,X
05.12.2025 13:36:00.000 UTC,1.16487,1.16494,1.16482,1.16494,105.82,U
05.12.2025 13:37:00.000 UTC,1.16496,1.16503,1.16487,1.165,73.39,I
05.12.2025 13:38:00.000 UTC,1.16503,1.16518,1.165,1.16518,56.7,B
05.12.2025 13:39:00.000 UTC,1.16517,1.16521,1.16501,1.16518,90.66,I
05.12.2025 13:40:00.000 UTC,1.16518,1.16537,1.16506,1.16534,151.41,B
05.12.2025 13:41:00.000 UTC,1.16532,1.16538,1.1652,1.16522,104.52,D
05.12.2025 13:42:00.000 UTC,1.16524,1.16536,1.16521,1.16521,58.68,I
05.12.2025 13:43:00.000 UTC,1.1652,1.16525,1.1651,1.16511,55.73,D
05.12.2025 13:44:00.000 UTC,1.16512,1.16516,1.16504,1.16507,47.79,I
05.12.2025 13:45:00.000 UTC,1.16506,1.16514,1.16504,1.16509,9.0,I
05.12.2025 13:46:00.000 UTC,1.16507,1.16519,1.16503,1.16517,62.53,U
05.12.2025 13:47:00.000 UTC,1.16518,1.16518,1.16499,1.16503,81.37,X
05.12.2025 13:48:00.000 UTC,1.16503,1.16519,1.16502,1.16519,70.38,B
05.12.2025 13:49:00.000 UTC,1.16521,1.16529,1.16517,1.16519,66.12,I
05.12.2025 13:50:00.000 UTC,1.16521,1.16531,1.16518,1.16528,66.52,U
05.12.2025 13:51:00.000 UTC,1.1653,1.16535,1.16522,1.16527,60.07,I
05.12.2025 13:52:00.000 UTC,1.16529,1.16533,1.16522,1.1653,65.47,I
05.12.2025 13:53:00.000 UTC,1.1653,1.16532,1.16526,1.16527,54.36,I
05.12.2025 13:54:00.000 UTC,1.16528,1.1653,1.16519,1.1653,79.42,I
05.12.2025 13:55:00.000 UTC,1.16529,1.16532,1.16522,1.16522,65.43,D
05.12.2025 13:56:00.000 UTC,1.16523,1.16528,1.16514,1.16516,38.91,D
05.12.2025 13:57:00.000 UTC,1.16516,1.16528,1.16515,1.16522,71.86,U
05.12.2025 13:58:00.000 UTC,1.1652,1.16522,1.16514,1.16522,58.14,I
05.12.2025 13:59:00.000 UTC,1.1652,1.16521,1.16513,1.16517,27.13,I
05.12.2025 14:00:00.000 UTC,1.16518,1.1653,1.16514,1.16525,141.01,U
05.12.2025 14:01:00.000 UTC,1.16525,1.16525,1.16507,1.16512,118.97,X
05.12.2025 14:02:00.000 UTC,1.16513,1.1652,1.16509,1.16514,38.76,I
05.12.2025 14:03:00.000 UTC,1.16517,1.16546,1.16517,1.16545,106.39,B
05.12.2025 14:04:00.000 UTC,1.16546,1.16563,1.16546,1.16563,129.99,B
05.12.2025 14:05:00.000 UTC,1.16565,1.16573,1.16562,1.16567,115.56,I
05.12.2025 14:06:00.000 UTC,1.16565,1.1659,1.16565,1.16589,113.1,B
05.12.2025 14:07:00.000 UTC,1.1659,1.166,1.16584,1.166,102.34,U
05.12.2025 14:08:00.000 UTC,1.16599,1.166,1.16574,1.16576,79.06,X
05.12.2025 14:09:00.000 UTC,1.16576,1.16576,1.16557,1.16557,122.01,X
